comp_id,method,loop_id,probe_node,probe_graal_block_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,0,b4,4
56,java.util.HashMap.putVal,0,b41,41
57,java.lang.String.equals,0,b13,13
66,java.util.HashMap.resize,2,b23,23
66,java.util.HashMap.resize,0,b48,48
66,java.util.HashMap.resize,1,b62,62
80,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b18,18
80,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b21,21
80,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b24,24
81,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b9,9
81,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b12,12
81,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b15,15
84,java.lang.StringCoding.countPositives,0,b22,22
85,java.lang.StringCoding.countPositives,0,b11,11
135,BuboAgentCompilerMarkers.warmupMarkers,0,b2,2
135,BuboAgentCompilerMarkers.warmupMarkers,1,b5,5
135,BuboAgentCompilerMarkers.warmupMarkers,2,b8,8
136,BuboAgentCompilerMarkers.warmupMarkers,0,b0,0
136,BuboAgentCompilerMarkers.warmupMarkers,1,b3,3
136,BuboAgentCompilerMarkers.warmupMarkers,2,b6,6
1188,scala.collection.immutable.VectorBuilder.addAll,2,b16,16
1188,scala.collection.immutable.VectorBuilder.addAll,3,b29,29
1188,scala.collection.immutable.VectorBuilder.addAll,4,b58,58
1188,scala.collection.immutable.VectorBuilder.addAll,0,b84,84
1188,scala.collection.immutable.VectorBuilder.addAll,1,b137,137
1190,scala.collection.immutable.VectorBuilder.<init>,0,b2,2
1193,scala.collection.immutable.VectorBuilder.result,0,b12,12
1193,scala.collection.immutable.VectorBuilder.result,1,b28,28
1194,scala.collection.immutable.VectorBuilder.result,0,b12,12
1194,scala.collection.immutable.VectorBuilder.result,1,b28,28
1195,scala.collection.SeqFactory$Delegate.newBuilder,0,b6,6
1196,scala.collection.immutable.Vector$.newBuilder,0,b5,5
1197,scala.collection.immutable.Vector$.newBuilder,0,b5,5
1198,scala.collection.StrictOptimizedIterableOps.flatMap,1,b23,23
1198,scala.collection.StrictOptimizedIterableOps.flatMap,0,b27,27
1198,scala.collection.StrictOptimizedIterableOps.flatMap,2,b56,56
1208,scala.collection.immutable.List.map,0,b107,107
1208,scala.collection.immutable.List.map,1,b130,130
1208,scala.collection.immutable.List.map,2,b147,147
1208,scala.collection.immutable.List.map,3,b170,170
1209,scala.collection.immutable.List.map,0,b7,7
