Method: LoopBenchmarks::main, Block ID: 22400, Normal Time: 0.004, Slowdown Time: 0.005, Percentage Increase: 25.0%
Method: LoopBenchmarks::main, Block ID: 22401, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 62593, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 22402, Normal Time: 0.023, Slowdown Time: 0.021, Percentage Increase: -8.695652173913036%
Method: LoopBenchmarks::main, Block ID: 79878, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 16648, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 16649, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 56844, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 16653, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 56845, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 56846, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 68367, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 68369, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 10904, Normal Time: 0.015, Slowdown Time: 0.017, Percentage Increase: 13.333333333333346%
Method: LoopBenchmarks::main, Block ID: 10905, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 10907, Normal Time: 0.031, Slowdown Time: 0.041, Percentage Increase: 32.25806451612904%
Method: LoopBenchmarks::main, Block ID: 10908, Normal Time: 4.06, Slowdown Time: 4.044, Percentage Increase: -0.3940886699507393%
Method: LoopBenchmarks::main, Block ID: 35612, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 10909, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 10910, Normal Time: 0.032, Slowdown Time: 0.047, Percentage Increase: 46.875%
Method: LoopBenchmarks::main, Block ID: 10911, Normal Time: 0.008, Slowdown Time: 0.005, Percentage Increase: -37.5%
Method: LoopBenchmarks::main, Block ID: 10912, Normal Time: 0.003, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 10913, Normal Time: 0.016, Slowdown Time: 0.015, Percentage Increase: -6.250000000000005%
Method: LoopBenchmarks::main, Block ID: 51107, Normal Time: 0.01, Slowdown Time: 0.007, Percentage Increase: -30.0%
Method: LoopBenchmarks::main, Block ID: 51108, Normal Time: 0.017, Slowdown Time: 0.017, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 51109, Normal Time: 2.756, Slowdown Time: 2.753, Percentage Increase: -0.10885341074019121%
Method: LoopBenchmarks::main, Block ID: 51110, Normal Time: 0.016, Slowdown Time: 0.026, Percentage Increase: 62.499999999999986%
Method: LoopBenchmarks::main, Block ID: 51111, Normal Time: 0.007, Slowdown Time: 0.004, Percentage Increase: -42.857142857142854%
Method: LoopBenchmarks::main, Block ID: 78024, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 39627, Normal Time: 0.002, Slowdown Time: 0.003, Percentage Increase: 50.0%
Method: LoopBenchmarks::main, Block ID: 33891, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 28140, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 28141, Normal Time: 0.024, Slowdown Time: 0.028, Percentage Increase: 16.666666666666664%
Method: LoopBenchmarks::main, Block ID: 28142, Normal Time: 0.013, Slowdown Time: 0.022, Percentage Increase: 69.23076923076923%
Method: LoopBenchmarks::main, Block ID: 28143, Normal Time: 0.01, Slowdown Time: 0.003, Percentage Increase: -70.0%
Method: LoopBenchmarks::main, Block ID: 59887, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
