Method: LoopBenchmarks::main, Block ID: 22400, Normal Time: 0.007, Slowdown Time: 0.003, Percentage Increase: -57.14285714285714%
Method: LoopBenchmarks::main, Block ID: 22401, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 22402, Normal Time: 0.031, Slowdown Time: 0.02, Percentage Increase: -35.48387096774193%
Method: LoopBenchmarks::main, Block ID: 11395, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 79877, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 16648, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 56843, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 56844, Normal Time: 0.001, Slowdown Time: 0.003, Percentage Increase: 200.0%
Method: LoopBenchmarks::main, Block ID: 56845, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 16653, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 83856, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 10904, Normal Time: 0.01, Slowdown Time: 0.018, Percentage Increase: 79.99999999999999%
Method: LoopBenchmarks::main, Block ID: 10905, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 10907, Normal Time: 0.03, Slowdown Time: 0.034, Percentage Increase: 13.333333333333346%
Method: LoopBenchmarks::main, Block ID: 10908, Normal Time: 4.097, Slowdown Time: 4.064, Percentage Increase: -0.8054674151818492%
Method: LoopBenchmarks::main, Block ID: 10909, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 10910, Normal Time: 0.026, Slowdown Time: 0.037, Percentage Increase: 42.30769230769231%
Method: LoopBenchmarks::main, Block ID: 10911, Normal Time: 0.012, Slowdown Time: 0.012, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 10912, Normal Time: 0.001, Slowdown Time: 0.003, Percentage Increase: 200.0%
Method: LoopBenchmarks::main, Block ID: 10913, Normal Time: 0.011, Slowdown Time: 0.017, Percentage Increase: 54.54545454545456%
Method: LoopBenchmarks::main, Block ID: 51106, Normal Time: 0.01, Slowdown Time: 0.007, Percentage Increase: -30.0%
Method: LoopBenchmarks::main, Block ID: 51107, Normal Time: 0.024, Slowdown Time: 0.017, Percentage Increase: -29.166666666666664%
Method: LoopBenchmarks::main, Block ID: 51108, Normal Time: 2.746, Slowdown Time: 2.75, Percentage Increase: 0.14566642388929366%
Method: LoopBenchmarks::main, Block ID: 51109, Normal Time: 0.018, Slowdown Time: 0.022, Percentage Increase: 22.222222222222225%
Method: LoopBenchmarks::main, Block ID: 51110, Normal Time: 0.013, Slowdown Time: 0.011, Percentage Increase: -15.384615384615385%
Method: LoopBenchmarks::main, Block ID: 77763, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 39627, Normal Time: 0.002, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 78030, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 35029, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 33890, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 33891, Normal Time: 0.001, Slowdown Time: 0.002, Percentage Increase: 100.0%
Method: LoopBenchmarks::main, Block ID: 28140, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 28141, Normal Time: 0.028, Slowdown Time: 0.035, Percentage Increase: 25.00000000000001%
Method: LoopBenchmarks::main, Block ID: 28142, Normal Time: 0.023, Slowdown Time: 0.021, Percentage Increase: -8.695652173913036%
Method: LoopBenchmarks::main, Block ID: 28143, Normal Time: 0.005, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 28144, Normal Time: 0.005, Slowdown Time: 0.004, Percentage Increase: -20.0%
Method: LoopBenchmarks::main, Block ID: 28145, Normal Time: 0.0, Slowdown Time: 0.002, Percentage Increase: 0.0%
Method: LoopBenchmarks::main, Block ID: 28146, Normal Time: 0.027, Slowdown Time: 0.026, Percentage Increase: -3.703703703703707%
Method: LoopBenchmarks::main, Block ID: 47603, Normal Time: 0.002, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Block ID: 28151, Normal Time: 0.003, Slowdown Time: 0.001, Percentage Increase: -66.66666666666666%
Method: LoopBenchmarks::main, Block ID: 62583, Normal Time: 0.008, Slowdown Time: 0.01, Percentage Increase: 25.0%
Method: LoopBenchmarks::main, Block ID: 28152, Normal Time: 0.003, Slowdown Time: 0.001, Percentage Increase: -66.66666666666666%
Method: LoopBenchmarks::main, Block ID: 62584, Normal Time: 0.006, Slowdown Time: 0.004, Percentage Increase: -33.33333333333333%
Method: LoopBenchmarks::main, Block ID: 28153, Normal Time: 2.255, Slowdown Time: 2.173, Percentage Increase: -3.63636363636363%
Method: LoopBenchmarks::main, Block ID: 28154, Normal Time: 1.499, Slowdown Time: 1.523, Percentage Increase: 1.6010673782521547%
Method: LoopBenchmarks::main, Block ID: 28155, Normal Time: 0.438, Slowdown Time: 0.428, Percentage Increase: -2.283105022831052%
Method: LoopBenchmarks::main, Block ID: 28156, Normal Time: 0.209, Slowdown Time: 0.234, Percentage Increase: 11.961722488038289%
Method: LoopBenchmarks::main, Block ID: 22397, Normal Time: 0.023, Slowdown Time: 0.026, Percentage Increase: 13.043478260869563%
Method: LoopBenchmarks::main, Block ID: 28157, Normal Time: 0.093, Slowdown Time: 0.07, Percentage Increase: -24.731182795698917%
Method: LoopBenchmarks::main, Block ID: 22398, Normal Time: 0.016, Slowdown Time: 0.029, Percentage Increase: 81.25%
Method: LoopBenchmarks::main, Block ID: 28158, Normal Time: 2.275, Slowdown Time: 2.293, Percentage Increase: 0.7912087912088016%
Method: LoopBenchmarks::main, Block ID: 22399, Normal Time: 0.01, Slowdown Time: 0.006, Percentage Increase: -40.0%
Method: LoopBenchmarks::main, Block ID: 28159, Normal Time: 0.001, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: LoopBenchmarks::main, Median Percentage Increase: 25.000000000000007%
Method: LoopBenchmarks::crc32Loop, Block ID: 82, Normal Time: 0.314, Slowdown Time: 0.551, Percentage Increase: 75.47770700636944%
Method: LoopBenchmarks::crc32Loop, Block ID: 83, Normal Time: 0.802, Slowdown Time: 1.535, Percentage Increase: 91.39650872817953%
Method: LoopBenchmarks::crc32Loop, Block ID: 84, Normal Time: 0.58, Slowdown Time: 1.053, Percentage Increase: 81.55172413793103%
Method: LoopBenchmarks::crc32Loop, Block ID: 20, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 85, Normal Time: 0.529, Slowdown Time: 1.212, Percentage Increase: 129.11153119092626%
Method: LoopBenchmarks::crc32Loop, Block ID: 86, Normal Time: 0.537, Slowdown Time: 1.128, Percentage Increase: 110.05586592178767%
Method: LoopBenchmarks::crc32Loop, Block ID: 22, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 23, Normal Time: 0.001, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: LoopBenchmarks::crc32Loop, Block ID: 87, Normal Time: 0.495, Slowdown Time: 1.168, Percentage Increase: 135.95959595959596%
